code,title_y,address,price,rating_x,like-dislike,rating_y,commentCount_y,distance,score5-1,commentCount_x,lat,lon,textCommentCount,count
7jw4e9,کره کباب زعفرانی دورهمی,بین هفت تیر 11 و 13، پلاک 165، کره کباب زعفرانی دورهمی,0.8582212753897673,0.0,0.0350257750158887,0.8379282920140911,0.0014500309557170321,0.9067534301284892,0.6410256410256411,170.0,36.3207,59.4952,35.0,0.09523809523809523
7jw5dn,سوخاری چی,قاسم آباد، نبش شاهد 67، جنب بانک تجارت، سوخاری چی,0.7658155656895995,0.0,0.04641856742697078,0.8365420416206044,0.00014663234383655382,0.9119403485152106,0.6495726495726496,90.0,36.360551,59.52219699999999,12.0,0.047619047619047616
7jwv2x,مطعم خلیج,خیابان امام رضا 8، پلاک 20، مطعم خلیج,0.8407892145298239,0.0,0.029771908763505397,0.0,0.0005050669621036853,0.9832127996713236,0.9401709401709402,112.0,36.279786824173,59.610852956739,18.0,0.14285714285714285
7jx2ox,کافه رستوران سوئدی استکهلم,وکیل آباد، کوچه سروش 2، نبش قاسمی 1، کافه رستوران سوئدی استکهلم,0.6612457535906064,0.4373177842565597,0.030183501972217457,0.9234228783478615,0.0029489393593795823,0.9220502313148953,0.8461538461538461,262.0,36.320952,59.5204986,100.0,0.03571428571428571
7jxz22,ساندویچ سرد مزه طوری,چهارراه عامل، نبش مطهری شمالی 11، ساندویچ سرد مزه طوری,0.8521831915877293,0.0354924578527063,0.021504253875463227,0.8833320372312105,0.007510834500961256,0.9707615357641961,0.6752136752136753,542.0,36.310755,59.600776,68.0,0.13095238095238096
7jy6og,فست فود برگردون,بلوار دلاوران، دلاوران 20، عارفی 25، جنب نانوایی، فست فود برگردون,0.7786235215945829,0.1033456861005273,0.029517689428712655,0.9224334815176917,0.007673759327446316,0.9183484537808798,0.8290598290598291,552.0,36.2802846,59.5083151,127.0,0.19642857142857142
8549mg,فست فود ستاره شب,انقلاب، بلوار شهید اصلانی، نبش اصلانی 56، فست فود ستاره شب,0.9088302316021788,0.0,0.019577061593868315,0.8881033863718039,0.0028185994981915342,0.9647440588044744,0.7350427350427351,254.0,36.229062682066,59.613531576829004,31.0,0.2261904761904762
8557vm,فست فود طلایی شعبه 2,نبش شریعتی 72، فست فود طلایی شعبه 2,0.8152637856669321,0.45869280616551633,0.014629107456936262,0.7753685534917324,0.011958682264003389,0.8920143811497827,0.5299145299145299,815.0,36.351271,59.481344,188.0,0.25
855r6m,رستوران یادبود,بلوار فرهنگ، نبش فرهنگ 42، رستوران یادبود,0.6857821093962115,0.653621182566094,0.023476057089502466,0.9031398931417128,0.011127765648929583,0.9031808907352794,0.7350427350427351,764.0,36.334539,59.493649,98.0,0.15476190476190477
855ver,فست فود 2 در 1,بلوار ملک آباد، خیابان فرهاد، فرهاد 25، قدس 27، فست فود 2 در 1,0.75773657655098,0.0680272108843538,0.015104223507584849,0.8361195183452053,0.0019876828831177293,0.9496319663846058,0.5897435897435898,203.0,36.3109553,59.5631874,23.0,0.32142857142857145
857gjg,سوخاری کیلویی فراخور,بلوار وکیل آباد، بین وکیل آباد 13 و 15، سوخاری کیلویی فراخور,0.7784144558709063,0.032223415682062294,0.03159158400202186,0.8194277556586043,0.004529310176284662,0.9229690961809296,0.5897435897435898,359.0,36.3214611,59.5221992,43.0,0.10714285714285714
85gggr,کترینگ والا,نبش فرامز عباسی 2، پلاک 97، کترینگ والا,0.7868735766904369,0.0,0.07146387966951487,0.939154304352755,0.0029815243246765944,0.9369863012926498,0.811965811965812,264.0,36.325682133151,59.54777598381,43.0,0.09523809523809523
85goq5,فست فود شبهای الهیه,الهیه، بلوار الهیه 3، کوچه ی شفاهی 1،  پلاک 17، طبقه 1، فست فود شبهای الهیه,0.7617032697081785,0.0,0.024459783913565424,0.9394230396902267,0.0007168692365342631,0.8913514462677992,0.8632478632478633,125.0,36.368378,59.488795,33.0,0.18452380952380953
85vdjg,ساندویچ مهدی,بلوار مطهری شمالی، بین مطهری شمالی 17و19، ساندویچ مهدی,0.9142910942819606,0.27295918367346933,0.022569027611044415,0.9307520498256344,0.002557919775815439,0.970792854936602,0.8205128205128205,238.0,36.310871693716,59.600923955441,29.0,0.1130952380952381
85venr,آشپزخانه و غذایی آماده محمدی,توس 97، بین الزهرا 33 و 31، آشپزخانه و غذایی آماده محمدی,0.8509584063737591,0.16646569441600548,0.01071197709853172,0.7926657705781243,0.002460164879924403,0.8897282884915036,0.5641025641025641,232.0,36.4097879,59.5180053,65.0,0.07142857142857142
85vjk2,فست فود سردویچ+,سعد آباد، بولوار مطهری جنوبی، بین 7 و 9، نبش مطهری جنوبی 9، فست فود سردویچ+,0.8521737812994423,0.23100907029478482,0.031212484993997595,0.942176268254,0.001564078334256574,0.9693789126860632,0.7948717948717948,177.0,36.303799380938,59.594049453735,38.0,0.06547619047619048
85vyk2,ساندویچ سرد گاتا,کوثر، خیابان شهید آل سیدان (کوثر 23 - صارمی 22/2)، بلوار کوثر شمالی (شهید صارمی 15)، نبش کوثر شمالی25،پلاک 0، ساندویچ سرد گاتا,0.7937433543692324,0.39131032464895493,0.07914890093968621,0.9565932132165839,0.03455635569748118,0.9179374557912665,0.8547008547008547,2202.0,36.311791,59.511176,318.0,0.16666666666666666
85x212,ساندویچ سرد کیوسک,بلوار پیروزی، بعد از پیروزی 77، دور میدان اقبال لاهوری، ساندویچ سرد کیوسک,0.8408981310278039,0.8105798776040849,0.08581497114975022,0.9538045664793842,0.04024243214180977,0.8894870450367711,0.8632478632478633,2551.0,36.33073600000001,59.469676,395.0,0.17857142857142858
85x845,فست فود رسالت,خیابان شیرازی، بین شیرازی ۱۷ و ۱۹، فست فود رسالت,0.922282600642617,0.41181437610009064,0.017914858250992705,0.8243695113061779,0.005506859135195021,0.9803078061690753,0.6239316239316239,419.0,36.295153251899,59.609080329901,53.0,0.1488095238095238
85xl55,فست فود آفتابگردان,خیابان پیروزی، بین پیروزی 14و 12، فست فود آفتابگردان,0.6901325632471471,0.6699492726096912,0.04027417418580335,0.8930880929332033,0.012854768809671218,0.9345651421184313,0.7435897435897436,870.0,36.292643,59.534527,119.0,0.17857142857142858
85xydy,اغذیه مشهد 60,بلوار هاشمیه، هاشمیه 91/3، مغازه دوم، اغذیه مشهد 60,0.9022139302944188,0.7388966192537612,0.03265306122448979,0.8700400163585617,0.004056828179477989,0.9044750807782114,0.6752136752136753,330.0,36.2988674,59.487377300000006,30.0,0.05357142857142857
85xzqm,کافه فست فود زندگی,خیابان استاد یوسفی، استاد یوسفی 17، فاز تجاری، روبه روی دانشگاه، قطعه چهارم، کافه فست فود زندگی,0.7857277357049016,0.5008503401360548,0.007803121248499399,0.7872809886362683,0.0018084655739841638,0.9099546733571814,0.5384615384615384,192.0,36.356369955607,59.515830874443,33.0,0.041666666666666664
944znd,کوبیده سرای دریا,نبش حسینی، محراب 68، کوبیده سرای دریا,0.9428607295213071,0.5903790087463554,0.024009603841536612,0.8047211259215207,0.0012708136465834664,0.9718936695026793,0.5982905982905983,159.0,36.316691,59.6725583,52.0,0.02976190476190476
94659y,کباب ترکی دیزین ترک (وکیل آباد),بین وکیل آباد 29 و 31، کنار پل هوایی عابر پیاده، کباب ترکی دیزین ترک (وکیل آباد),0.6512394243651373,0.5041740572352819,0.06812725090036015,0.8289814248791852,0.021212812408354785,0.9119608347197824,0.6068376068376068,1383.0,36.3266353,59.5055868,144.0,0.08928571428571429
946mo6,کترینگ رستوران کوکبی,نبش خادم الشعریه 2، کترینگ رستوران کوکبی,0.8125349583807819,0.11661807580174925,0.024009603841536612,0.8889109065275428,0.0019876828831177293,0.9173201832744112,0.6752136752136753,203.0,36.3675591,59.5380756,36.0,0.03571428571428571
946ogd,غذا خانگی مهدیس,فرهاد 25، غذا خانگی مهدیس,0.7937977300744573,0.0,0.0517921454296004,0.9689913933585784,0.003095571703216136,0.9491141604594094,0.8974358974358975,271.0,36.3116127,59.5625635,49.0,0.07738095238095238
946yzn,فست فود کارینو,بین عبدالمطلب 20 و22، فست فود کارینو,0.8262984089444751,0.05629838142153413,0.014074595355383532,0.8001672093637259,0.0017595881260386457,0.964804413946131,0.5213675213675214,189.0,36.3235543,59.5994848,24.0,0.16666666666666666
9472n6,ساندویچ سرد صدف (احمدآباد),بلوار احمد آباد، بین خیابان احمد آباد 19 و 21، نبش خیابان احمد آباد 21، مجتمع توحید، طبقه همکف، ساندویچ سرد صدف,0.8834488744213026,0.0,0.12845138055222088,0.9415014817431535,0.007445664570367233,0.9559831476627741,0.8205128205128205,538.0,36.29833,59.56977,44.0,0.017857142857142856
9479qy,اغذیه کیان,شهرک امام هادی، کندرو بزرگراه پیامبر اعظم، بین بهدگانی 16 و 18، اغذیه کیان,0.9189828818872492,0.0,0.015644967664485147,0.8999199263800784,0.00027697220502460163,0.9216240386620339,0.7863247863247863,98.0,36.362468,59.542685,0.0,0.17857142857142858
947ql6,رستوران برکه,بلوار جانباز، بین جانباز 1 و 3، ساختمان برج برفی طبقه همکف، رستوران برکه,0.8497929783628301,0.0,0.06242496998799519,0.9075855872238325,0.004594480106878686,0.9454934526212427,0.7094017094017094,363.0,36.327300672482,59.563879966736,61.0,0.011904761904761904
947wrk,تایم سوخاری,خیابان هاشمیه، نبش هاشمیه 46، تایم سوخاری,0.7636511993835885,0.0,0.024882680344865214,0.809056166583081,0.0012871061292319724,0.9116969082569841,0.5213675213675214,160.0,36.305207,59.499794,23.0,0.19047619047619047
9497jy,چیکن چیپس,خیابان وکیل آباد، بین کوثر شمالی 11 و 13، پلاک 147، چیکن چیپس,0.7416048635223592,0.0,0.026689745665708146,0.7719236487769645,0.002557919775815439,0.9215850851006627,0.5213675213675214,238.0,36.314926312333,59.517917633057,13.0,0.25
949wod,غذای آماده سلوا,ابتدای احمدآباد، روبرو احمدآباد 1، جنب بیمارستان قائم، غذای آماده سلوا,0.8553337561062184,0.0,0.03176655277495614,0.8157176801900976,1.629248264850598e-05,0.9662292166783985,0.5811965811965812,82.0,36.2916103,59.5848943,17.0,0.07142857142857142
94wgl6,پیتزا اون (شعبه فلسطین),بلوار فلسطین، فلسطین 19، بین قادری 6 و 4، پیتزا آون (شعبه فلسطین),0.5998200614201592,0.0,0.0452391482908953,0.9206673598412873,0.0052624718954674314,0.9543336970320059,0.8034188034188035,404.0,36.304835,59.5689,41.0,0.10714285714285714
94wxnn,رستوران و فست فود جردن,بین طبرسی جنوبی 53 و 55، رستوران و فست فود جردن,0.8419579723350699,0.0,0.013925570228091233,0.6917294146714916,0.0018573430219296816,0.9876516784274613,0.36752136752136755,195.0,36.304142,59.64125800000001,21.0,0.1130952380952381
94x87d,جگر و کباب فلفل,خیابان مسلم شمالی، بین مسلم شمالی 8 و 10، جگر و کباب فلفل,0.9657164377127843,0.5824175824175816,0.08451380552220888,0.8723888537758105,0.0014663234383655382,0.9768667237210831,0.6410256410256411,171.0,36.31962,59.629465,11.0,0.023809523809523808
